Search keyword report
"August 8, 2020 - August 14, 2020"
Device,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Impr.,Impr. (Top) %,Search impr. share,Search top IS,Cost,Clicks,Conversions,Click share,Match type,Search exact match IS,Search lost top IS (rank)
Tablets,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--m-driver safety-Google,USD,Campaign paused,2.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--m-driver safety-Google,USD,Campaign paused,2.20,111,91.67%,< 10%,< 10%,8.50,5,0.00,< 10%,Broad match, --,> 90%
Computers,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--m-driver safety-Google,USD,Campaign paused,2.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--m-driver safety-Google,USD,Campaign paused,2.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--m-driver safety-Google,USD,Campaign paused,2.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--c-driver tracking app-Google,USD,Campaign paused,8.90,29,82.76%,80.56%,66.67%,6.03,1,0.00,74.09%,Broad match, --,33.33%
TV screens,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--c-driver tracking app-Google,USD,Campaign paused,8.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--c-driver tracking app-Google,USD,Campaign paused,8.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--c-driver tracking app-Google,USD,Campaign paused,8.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--c-driver tracking app-Google,USD,Campaign paused,8.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--c-driver monitoring-Google,USD,Campaign paused,7.20,155,70.32%,29.75%,20.92%,27.30,5,0.00,38.55%,Broad match, --,79.08%
Mobile phones,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--c-driver monitoring-Google,USD,Campaign paused,7.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--c-driver monitoring-Google,USD,Campaign paused,7.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
