Search keyword report
"August 8, 2020 - August 14, 2020"
Device,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Impr.,Impr. (Top) %,Search impr. share,Search top IS,Cost,Clicks,Conversions,Click share,Match type,Search exact match IS,Search lost top IS (rank)
Mobile phones,Enabled,"""DASH CAM""",M7M2-DASHCAM,p--c-dash cam-Google,USD,Campaign paused,7.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled,"""DASH CAM""",M7M2-DASHCAM,p--c-dash cam-Google,USD,Campaign paused,7.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Other,Enabled,[360 DEGREE DASHCAM],M7M2-DASHCAM,e--c-360 degree dashcam-Google,USD,Campaign paused,11.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[360 DEGREE DASHCAM],M7M2-DASHCAM,e--c-360 degree dashcam-Google,USD,Campaign paused,11.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[360 DEGREE DASHCAM],M7M2-DASHCAM,e--c-360 degree dashcam-Google,USD,Campaign paused,11.10,74,86.49%,97.37%,95.52%,29.28,6,1.00,79.19%,Exact match, --,4.48%
Mobile phones,Enabled,[360 DEGREE DASHCAM],M7M2-DASHCAM,e--c-360 degree dashcam-Google,USD,Campaign paused,11.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[360 DEGREE DASHCAM],M7M2-DASHCAM,e--c-360 degree dashcam-Google,USD,Campaign paused,11.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled, +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dashboard camera-Google,USD,Campaign paused,15.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dashboard camera-Google,USD,Campaign paused,15.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dashboard camera-Google,USD,Campaign paused,15.30,"3,602",79.92%,66.18%,55.99%,1345.51,130,2.00,59.58%,Broad match, --,44.01%
Mobile phones,Enabled, +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dashboard camera-Google,USD,Campaign paused,15.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dashboard camera-Google,USD,Campaign paused,15.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled,"""FLEET CAMERA""",M7M2-DASHCAM,p--c-fleet camera-Google,USD,Campaign paused,56.40,11,100.00%,78.57%,78.57%,28.98,1,0.00,55.21%,Phrase match, --,21.43%
TV screens,Enabled,"""FLEET CAMERA""",M7M2-DASHCAM,p--c-fleet camera-Google,USD,Campaign paused,56.40,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Mobile phones,Enabled,"""FLEET CAMERA""",M7M2-DASHCAM,p--c-fleet camera-Google,USD,Campaign paused,56.40,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Tablets,Enabled,"""FLEET CAMERA""",M7M2-DASHCAM,p--c-fleet camera-Google,USD,Campaign paused,56.40,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Other,Enabled,"""FLEET CAMERA""",M7M2-DASHCAM,p--c-fleet camera-Google,USD,Campaign paused,56.40,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Other,Enabled, +DUAL +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dual dashboard camera-Google,USD,Campaign paused,15.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DUAL +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dual dashboard camera-Google,USD,Campaign paused,15.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DUAL +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dual dashboard camera-Google,USD,Campaign paused,15.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DUAL +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dual dashboard camera-Google,USD,Campaign paused,15.90,387,78.81%,77.71%,66.02%,127.89,12,0.00,70.57%,Broad match, --,33.98%
TV screens,Enabled, +DUAL +DASHBOARD +CAMERA,M7M2-DASHCAM,b--c-dual dashboard camera-Google,USD,Campaign paused,15.90,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--m-fleet camera-Google,USD,Campaign paused,21.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--m-fleet camera-Google,USD,Campaign paused,21.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--m-fleet camera-Google,USD,Campaign paused,21.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--m-fleet camera-Google,USD,Campaign paused,21.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--m-fleet camera-Google,USD,Campaign paused,21.40,12,91.67%,80.00%,73.33%,18.83,2,0.00,65.16%,Broad match, --,26.67%
Computers,Enabled, +FLEET +DASH +CAM,M7M2-DASHCAM,b--m-fleet dash cam-Google,USD,Campaign paused,28.50,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +FLEET +DASH +CAM,M7M2-DASHCAM,b--m-fleet dash cam-Google,USD,Campaign paused,28.50,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +FLEET +DASH +CAM,M7M2-DASHCAM,b--m-fleet dash cam-Google,USD,Campaign paused,28.50,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +FLEET +DASH +CAM,M7M2-DASHCAM,b--m-fleet dash cam-Google,USD,Campaign paused,28.50,5,80.00%,83.33%,80.00%,26.53,1,0.00,55.11%,Broad match, --,20.00%
Tablets,Enabled, +FLEET +DASH +CAM,M7M2-DASHCAM,b--m-fleet dash cam-Google,USD,Campaign paused,28.50,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--m-teletrac navman-Google,USD,Eligible,2.10,46,100.00%,97.87%,97.87%,13.58,11,0.00,78.04%,Exact match, --,2.13%
TV screens,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--m-teletrac navman-Google,USD,Eligible,2.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--m-teletrac navman-Google,USD,Eligible,2.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--m-teletrac navman-Google,USD,Eligible,2.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--m-teletrac navman-Google,USD,Eligible,2.10,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[TELETRAC NAVMAN DIRECTOR],M7M2-BRAND,e--c-teletrac navman director-Google,USD,Eligible,1.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[TELETRAC NAVMAN DIRECTOR],M7M2-BRAND,e--c-teletrac navman director-Google,USD,Eligible,1.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[TELETRAC NAVMAN DIRECTOR],M7M2-BRAND,e--c-teletrac navman director-Google,USD,Eligible,1.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[TELETRAC NAVMAN DIRECTOR],M7M2-BRAND,e--c-teletrac navman director-Google,USD,Eligible,1.40,7,85.71%,58.33%,50.00%,1.15,1,0.00,52.20%,Exact match, --,50.00%
TV screens,Enabled,[TELETRAC NAVMAN DIRECTOR],M7M2-BRAND,e--c-teletrac navman director-Google,USD,Eligible,1.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[TELETRAC],M7M2-BRAND,e--m-teletrac-Google,USD,Eligible,3.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[TELETRAC],M7M2-BRAND,e--m-teletrac-Google,USD,Eligible,3.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[TELETRAC],M7M2-BRAND,e--m-teletrac-Google,USD,Eligible,3.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[TELETRAC],M7M2-BRAND,e--m-teletrac-Google,USD,Eligible,3.30,30,100.00%,96.77%,96.77%,0.30,1,0.00,77.74%,Exact match, --,3.23%
Other,Enabled,[TELETRAC],M7M2-BRAND,e--m-teletrac-Google,USD,Eligible,3.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[TELETRACK],M7M2-BRAND,e--c-teletrack-Google,USD,Eligible,8.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[TELETRACK],M7M2-BRAND,e--c-teletrack-Google,USD,Eligible,8.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[TELETRACK],M7M2-BRAND,e--c-teletrack-Google,USD,Eligible,8.30,264,98.11%,42.58%,41.77%,56.73,8,0.00,38.26%,Exact match, --,58.23%
Tablets,Enabled,[TELETRACK],M7M2-BRAND,e--c-teletrack-Google,USD,Eligible,8.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[TELETRACK],M7M2-BRAND,e--c-teletrack-Google,USD,Eligible,8.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,"""TELETRAC""",M7M2-BRAND,p--c-teletrac-Google,USD,Eligible,5.10,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,"""TELETRAC""",M7M2-BRAND,p--c-teletrac-Google,USD,Eligible,5.10,4,75.00%,100.00%,75.00%,5.01,1,0.00,39.09%,Phrase match, --,25.00%
TV screens,Enabled,"""TELETRAC""",M7M2-BRAND,p--c-teletrac-Google,USD,Eligible,5.10,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Mobile phones,Enabled,"""TELETRAC""",M7M2-BRAND,p--c-teletrac-Google,USD,Eligible,5.10,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Other,Enabled,"""TELETRAC""",M7M2-BRAND,p--c-teletrac-Google,USD,Eligible,5.10,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled, +TELETRAC,M7M2-BRAND,b--c-teletrac-Google,USD,Eligible,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +TELETRAC,M7M2-BRAND,b--c-teletrac-Google,USD,Eligible,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +TELETRAC,M7M2-BRAND,b--c-teletrac-Google,USD,Eligible,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +TELETRAC,M7M2-BRAND,b--c-teletrac-Google,USD,Eligible,9.80,3,100.00%,100.00%,100.00%,2.49,2,0.00,87.40%,Broad match, --,0.00%
Other,Enabled, +TELETRAC,M7M2-BRAND,b--c-teletrac-Google,USD,Eligible,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled,[TELETRAC],M7M2-BRAND,e--c-teletrac-Google,USD,Eligible,4.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[TELETRAC],M7M2-BRAND,e--c-teletrac-Google,USD,Eligible,4.50,36,97.22%,97.30%,94.59%,5.41,3,0.00,84.30%,Exact match, --,5.41%
TV screens,Enabled,[TELETRAC],M7M2-BRAND,e--c-teletrac-Google,USD,Eligible,4.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[TELETRAC],M7M2-BRAND,e--c-teletrac-Google,USD,Eligible,4.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[TELETRAC],M7M2-BRAND,e--c-teletrac-Google,USD,Eligible,4.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--t-teletrac navman-Google,USD,Eligible,1.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--t-teletrac navman-Google,USD,Eligible,1.80,4,100.00%,100.00%,100.00%,1.63,1,0.00,57.57%,Exact match, --,0.00%
Mobile phones,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--t-teletrac navman-Google,USD,Eligible,1.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--t-teletrac navman-Google,USD,Eligible,1.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[TELETRAC NAVMAN],M7M2-BRAND,e--t-teletrac navman-Google,USD,Eligible,1.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[EQUIPMENT GPS TRACKING SYSTEM],M7M2-CONSTRUCTION,e--c-equipment gps tracking system-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[EQUIPMENT GPS TRACKING SYSTEM],M7M2-CONSTRUCTION,e--c-equipment gps tracking system-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[EQUIPMENT GPS TRACKING SYSTEM],M7M2-CONSTRUCTION,e--c-equipment gps tracking system-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[EQUIPMENT GPS TRACKING SYSTEM],M7M2-CONSTRUCTION,e--c-equipment gps tracking system-Google,USD,Campaign paused,17.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[EQUIPMENT GPS TRACKING SYSTEM],M7M2-CONSTRUCTION,e--c-equipment gps tracking system-Google,USD,Campaign paused,17.70,4,50.00%,100.00%,50.00%,12.87,1,0.00,52.00%,Exact match, --,50.00%
Mobile phones,Enabled,"""EQUIPMENT TRACKING APP""",M7M2-CONSTRUCTION,p--c-equipment tracking app-Bing,USD,Campaign paused,32.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,"""EQUIPMENT TRACKING APP""",M7M2-CONSTRUCTION,p--c-equipment tracking app-Bing,USD,Campaign paused,32.60,4,100.00%,66.67%,66.67%,52.43,2,1.00,92.22%,Phrase match, --,33.33%
Other,Enabled,"""EQUIPMENT TRACKING APP""",M7M2-CONSTRUCTION,p--c-equipment tracking app-Bing,USD,Campaign paused,32.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled,"""EQUIPMENT TRACKING APP""",M7M2-CONSTRUCTION,p--c-equipment tracking app-Bing,USD,Campaign paused,32.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Tablets,Enabled,"""EQUIPMENT TRACKING APP""",M7M2-CONSTRUCTION,p--c-equipment tracking app-Bing,USD,Campaign paused,32.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled, +EQUIPMENT +MANAGEMENT,M7M2-CONSTRUCTION,b--c-equipment management-Google,USD,Campaign paused,3.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +EQUIPMENT +MANAGEMENT,M7M2-CONSTRUCTION,b--c-equipment management-Google,USD,Campaign paused,3.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +EQUIPMENT +MANAGEMENT,M7M2-CONSTRUCTION,b--c-equipment management-Google,USD,Campaign paused,3.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +EQUIPMENT +MANAGEMENT,M7M2-CONSTRUCTION,b--c-equipment management-Google,USD,Campaign paused,3.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +EQUIPMENT +MANAGEMENT,M7M2-CONSTRUCTION,b--c-equipment management-Google,USD,Campaign paused,3.30,31,48.39%,13.08%,< 10%,3.29,1,0.00,< 10%,Broad match, --,> 90%
Computers,Enabled,[EQUIPMENT TRACKING SOFTWARE],M7M2-CONSTRUCTION,e--c-equipment tracking software-Bing,USD,Campaign paused,21.20,7,71.43%,46.67%,33.33%,13.67,1,0.00,36.43%,Exact match, --,66.67%
TV screens,Enabled,[EQUIPMENT TRACKING SOFTWARE],M7M2-CONSTRUCTION,e--c-equipment tracking software-Bing,USD,Campaign paused,21.20,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[EQUIPMENT TRACKING SOFTWARE],M7M2-CONSTRUCTION,e--c-equipment tracking software-Bing,USD,Campaign paused,21.20,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[EQUIPMENT TRACKING SOFTWARE],M7M2-CONSTRUCTION,e--c-equipment tracking software-Bing,USD,Campaign paused,21.20,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[EQUIPMENT TRACKING SOFTWARE],M7M2-CONSTRUCTION,e--c-equipment tracking software-Bing,USD,Campaign paused,21.20,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[EQUIPMENT TRACKER],M7M2-CONSTRUCTION,e--c-equipment tracker-Google,USD,Campaign paused,28.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[EQUIPMENT TRACKER],M7M2-CONSTRUCTION,e--c-equipment tracker-Google,USD,Campaign paused,28.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[EQUIPMENT TRACKER],M7M2-CONSTRUCTION,e--c-equipment tracker-Google,USD,Campaign paused,28.80,14,78.57%,100.00%,84.62%,56.10,2,0.00,52.20%,Exact match, --,15.38%
TV screens,Enabled,[EQUIPMENT TRACKER],M7M2-CONSTRUCTION,e--c-equipment tracker-Google,USD,Campaign paused,28.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[EQUIPMENT TRACKER],M7M2-CONSTRUCTION,e--c-equipment tracker-Google,USD,Campaign paused,28.80,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled, +EQUIPMENT +TRACKING +DEVICE,M7M2-CONSTRUCTION,b--c-equipment tracking device-Bing,USD,Campaign paused,13.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +EQUIPMENT +TRACKING +DEVICE,M7M2-CONSTRUCTION,b--c-equipment tracking device-Bing,USD,Campaign paused,13.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +EQUIPMENT +TRACKING +DEVICE,M7M2-CONSTRUCTION,b--c-equipment tracking device-Bing,USD,Campaign paused,13.20,8,37.50%,61.54%,23.08%,25.16,2,0.00,26.22%,Broad match, --,76.92%
TV screens,Enabled, +EQUIPMENT +TRACKING +DEVICE,M7M2-CONSTRUCTION,b--c-equipment tracking device-Bing,USD,Campaign paused,13.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +EQUIPMENT +TRACKING +DEVICE,M7M2-CONSTRUCTION,b--c-equipment tracking device-Bing,USD,Campaign paused,13.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +ASSET +LOCATION,M7M2-CONSTRUCTION,b--c-asset location-Google,USD,Campaign paused,14.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +ASSET +LOCATION,M7M2-CONSTRUCTION,b--c-asset location-Google,USD,Campaign paused,14.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +ASSET +LOCATION,M7M2-CONSTRUCTION,b--c-asset location-Google,USD,Campaign paused,14.80,71,76.06%,43.03%,32.73%,39.36,3,0.00,49.70%,Broad match, --,67.27%
TV screens,Enabled, +ASSET +LOCATION,M7M2-CONSTRUCTION,b--c-asset location-Google,USD,Campaign paused,14.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +ASSET +LOCATION,M7M2-CONSTRUCTION,b--c-asset location-Google,USD,Campaign paused,14.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--c-driver safety-Google,USD,Campaign paused,3.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +FLEET +MANAGEMENT +SERVICES,M7M2-FLEET,b--c-fleet management services-Google,USD,Campaign paused,20.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +FLEET +MANAGEMENT +SERVICES,M7M2-FLEET,b--c-fleet management services-Google,USD,Campaign paused,20.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +FLEET +MANAGEMENT +SERVICES,M7M2-FLEET,b--c-fleet management services-Google,USD,Campaign paused,20.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +FLEET +MANAGEMENT +SERVICES,M7M2-FLEET,b--c-fleet management services-Google,USD,Campaign paused,20.70,19,68.42%,54.29%,37.14%,20.35,1,0.00,52.63%,Broad match, --,62.86%
TV screens,Enabled, +FLEET +MANAGEMENT +SERVICES,M7M2-FLEET,b--c-fleet management services-Google,USD,Campaign paused,20.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled,[FLEET MANAGEMENT SYSTEM],M7M2-FLEET,e--c-fleet management system-Google,USD,Campaign paused,42.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[FLEET MANAGEMENT SYSTEM],M7M2-FLEET,e--c-fleet management system-Google,USD,Campaign paused,42.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[FLEET MANAGEMENT SYSTEM],M7M2-FLEET,e--c-fleet management system-Google,USD,Campaign paused,42.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[FLEET MANAGEMENT SYSTEM],M7M2-FLEET,e--c-fleet management system-Google,USD,Campaign paused,42.40,23,69.57%,51.11%,35.56%,10.56,1,1.00,35.96%,Exact match, --,64.44%
Other,Enabled,[FLEET MANAGEMENT SYSTEM],M7M2-FLEET,e--c-fleet management system-Google,USD,Campaign paused,42.40,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled, +GPS +FLEET +TRACKER,M7M2-FLEET,b--c-gps fleet tracker-Google,USD,Campaign paused,35.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +GPS +FLEET +TRACKER,M7M2-FLEET,b--c-gps fleet tracker-Google,USD,Campaign paused,35.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +GPS +FLEET +TRACKER,M7M2-FLEET,b--c-gps fleet tracker-Google,USD,Campaign paused,35.30,20,60.00%,64.52%,40.00%,12.66,1,0.00,18.24%,Broad match, --,60.00%
Other,Enabled, +GPS +FLEET +TRACKER,M7M2-FLEET,b--c-gps fleet tracker-Google,USD,Campaign paused,35.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +GPS +FLEET +TRACKER,M7M2-FLEET,b--c-gps fleet tracker-Google,USD,Campaign paused,35.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled,"""FLEET MANAGEMENT""",M7M2-FLEET,p--c-fleet management-Bing,USD,Campaign paused,10.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,"""FLEET MANAGEMENT""",M7M2-FLEET,p--c-fleet management-Bing,USD,Campaign paused,10.60,372,63.98%,28.88%,18.48%,62.10,6,0.00,11.91%,Phrase match, --,81.52%
TV screens,Enabled,"""FLEET MANAGEMENT""",M7M2-FLEET,p--c-fleet management-Bing,USD,Campaign paused,10.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Other,Enabled,"""FLEET MANAGEMENT""",M7M2-FLEET,p--c-fleet management-Bing,USD,Campaign paused,10.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Mobile phones,Enabled,"""FLEET MANAGEMENT""",M7M2-FLEET,p--c-fleet management-Bing,USD,Campaign paused,10.60,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,[GPS FLEET TRACKING],M7M2-FLEET,e--c-gps fleet tracking-Google,USD,Campaign paused,37.50,10,70.00%,50.00%,35.00%,66.42,2,0.00,26.29%,Exact match, --,65.00%
Other,Enabled,[GPS FLEET TRACKING],M7M2-FLEET,e--c-gps fleet tracking-Google,USD,Campaign paused,37.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[GPS FLEET TRACKING],M7M2-FLEET,e--c-gps fleet tracking-Google,USD,Campaign paused,37.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[GPS FLEET TRACKING],M7M2-FLEET,e--c-gps fleet tracking-Google,USD,Campaign paused,37.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled,[GPS FLEET TRACKING],M7M2-FLEET,e--c-gps fleet tracking-Google,USD,Campaign paused,37.50,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,"""FLEET MANAGEMENT SOFTWARE""",M7M2-FLEET,p--c-fleet management software-Google,USD,Campaign paused,39.00,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Tablets,Enabled,"""FLEET MANAGEMENT SOFTWARE""",M7M2-FLEET,p--c-fleet management software-Google,USD,Campaign paused,39.00,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Other,Enabled,"""FLEET MANAGEMENT SOFTWARE""",M7M2-FLEET,p--c-fleet management software-Google,USD,Campaign paused,39.00,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled,"""FLEET MANAGEMENT SOFTWARE""",M7M2-FLEET,p--c-fleet management software-Google,USD,Campaign paused,39.00,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,"""FLEET MANAGEMENT SOFTWARE""",M7M2-FLEET,p--c-fleet management software-Google,USD,Campaign paused,39.00,56,64.29%,61.54%,39.56%,8.13,1,0.00,25.22%,Phrase match, --,60.44%
Other,Enabled,[FLEET MANAGEMENT SERVICES],M7M2-FLEET,e--c-fleet management services-Bing,USD,Campaign paused,23.90,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[FLEET MANAGEMENT SERVICES],M7M2-FLEET,e--c-fleet management services-Bing,USD,Campaign paused,23.90,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[FLEET MANAGEMENT SERVICES],M7M2-FLEET,e--c-fleet management services-Bing,USD,Campaign paused,23.90,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[FLEET MANAGEMENT SERVICES],M7M2-FLEET,e--c-fleet management services-Bing,USD,Campaign paused,23.90,33,78.79%,73.33%,57.78%,42.99,2,0.00,34.61%,Exact match, --,42.22%
Tablets,Enabled,[FLEET MANAGEMENT SERVICES],M7M2-FLEET,e--c-fleet management services-Bing,USD,Campaign paused,23.90,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
